title,duration,rating,year,url
The Shawshank Redemption,142,9.3,1994,https://www.imdb.com//title/tt0111161/
The Godfather,175,9.2,1972,https://www.imdb.com//title/tt0068646/
The Dark Knight,152,9.0,2008,https://www.imdb.com//title/tt0468569/
The Lord of the Rings: The Return of the King,201,9.0,2003,https://www.imdb.com//title/tt0167260/
Schindler's List,195,9.0,1993,https://www.imdb.com//title/tt0108052/
The Godfather Part II,202,9.0,1974,https://www.imdb.com//title/tt0071562/
12 Angry Men,96,9.0,1957,https://www.imdb.com//title/tt0050083/
Jai Bhim,164,8.9,2021,https://www.imdb.com//title/tt15097216/
Pulp Fiction,154,8.9,1994,https://www.imdb.com//title/tt0110912/
Vikram,175,8.8,2022,https://www.imdb.com//title/tt9179430/
Inception,148,8.8,2010,https://www.imdb.com//title/tt1375666/
The Lord of the Rings: The Two Towers,179,8.8,2002,https://www.imdb.com//title/tt0167261/
Fight Club,139,8.8,1999,https://www.imdb.com//title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring,178,8.8,2001,https://www.imdb.com//title/tt0120737/
Forrest Gump,142,8.8,1994,https://www.imdb.com//title/tt0109830/
"Il buono, il brutto, il cattivo",161,8.8,1966,https://www.imdb.com//title/tt0060196/
Soorarai Pottru,153,8.7,2020,https://www.imdb.com//title/tt10189514/
The Matrix,136,8.7,1999,https://www.imdb.com//title/tt0133093/
Goodfellas,145,8.7,1990,https://www.imdb.com//title/tt0099685/
The Empire Strikes Back,124,8.7,1980,https://www.imdb.com//title/tt0080684/
One Flew Over the Cuckoo's Nest,133,8.7,1975,https://www.imdb.com//title/tt0073486/
Top Gun: Maverick,130,8.6,2022,https://www.imdb.com//title/tt1745960/
Interstellar,169,8.6,2014,https://www.imdb.com//title/tt0816692/
Cidade de Deus,130,8.6,2002,https://www.imdb.com//title/tt0317248/
Sen to Chihiro no kamikakushi,125,8.6,2001,https://www.imdb.com//title/tt0245429/
Saving Private Ryan,169,8.6,1998,https://www.imdb.com//title/tt0120815/
The Green Mile,189,8.6,1999,https://www.imdb.com//title/tt0120689/
La vita è bella,116,8.6,1997,https://www.imdb.com//title/tt0118799/
Se7en,127,8.6,1995,https://www.imdb.com//title/tt0114369/
Terminator 2: Judgment Day,137,8.6,1991,https://www.imdb.com//title/tt0103064/
The Silence of the Lambs,118,8.6,1991,https://www.imdb.com//title/tt0102926/
Star Wars,121,8.6,1977,https://www.imdb.com//title/tt0076759/
Seppuku,133,8.6,1962,https://www.imdb.com//title/tt0056058/
Shichinin no samurai,207,8.6,1954,https://www.imdb.com//title/tt0047478/
It's a Wonderful Life,130,8.6,1946,https://www.imdb.com//title/tt0038650/
Kaithi,145,8.5,2019,https://www.imdb.com//title/tt9900782/
Asuran,141,8.5,2019,https://www.imdb.com//title/tt9477520/
Gisaengchung,132,8.5,2019,https://www.imdb.com//title/tt6751668/
Whiplash,106,8.5,2014,https://www.imdb.com//title/tt2582802/
The Intouchables,112,8.5,2011,https://www.imdb.com//title/tt1675434/
K.G.F: Chapter 2,168,8.5,2022,https://www.imdb.com//title/tt10698680/
